face_color,hair_color,upper_color,lower_color
normal,Blonde,black,charcoal_gray
dark,Black,dark_brown,charcoal_gray
dark,Blonde,orange,white
dark,Blonde,green,brown
dark,Brown,white,medium_gray
fair,Brown,dark_brown,light_gray
dark,Brown,medium_gray,charcoal_gray
fair,Brown,medium_gray,dark_brown
normal,Black,tan_brown,khaki_brown
dark,Black,lavender,black
normal,Blonde,medium_gray,black
normal,Black,lavender,medium_gray
dark,Brown,pink,dark_blue
normal,Black,dark_brown,charcoal_gray
dark,Brown,light_blue,medium_gray
dark,Black,violet,light_gray
normal,Blonde,khaki_brown,tan_brown
dark,Brown,olive_green,medium_gray
fair,Black,black,medium_gray
dark,Brown,light_gray,black
normal,Blonde,sky_blue,tan_brown
fair,Brown,orange,brown
dark,Blonde,yellow,medium_gray
fair,Blonde,brown,khaki_brown
fair,Brown,khaki_brown,light_blue
dark,Blonde,maroon,black
fair,Black,olive_green,dark_blue
fair,Brown,black,dark_blue
normal,Blonde,gold,light_blue
dark,Black,brown,light_blue
dark,Black,medium_gray,white
fair,Black,purple,black
normal,Brown,brown,dark_blue
dark,Blonde,lavender,navy_blue
fair,Brown,tan_brown,black
normal,Blonde,charcoal_gray,brown
fair,Blonde,dark_blue,charcoal_gray
fair,Brown,purple,white
fair,Black,dark_brown,dark_brown
dark,Brown,green,navy_blue
fair,Brown,brown,khaki_brown
fair,Brown,khaki_brown,dark_blue
normal,Blonde,navy_blue,tan_brown
dark,Black,pink,light_gray
fair,Blonde,pink,brown
fair,Black,pink,dark_blue
normal,Blonde,yellow,navy_blue
dark,Blonde,maroon,dark_brown
fair,Brown,gold,medium_gray
dark,Blonde,olive_green,medium_gray
fair,Blonde,light_gray,brown
dark,Black,khaki_brown,gold
fair,Black,yellow,gold
fair,Brown,olive_green,dark_blue
fair,Blonde,lavender,dark_blue
normal,Blonde,yellow,light_blue
fair,Black,light_gray,white
normal,Brown,light_blue,brown
normal,Blonde,gold,white
fair,Blonde,dark_brown,light_gray
normal,Brown,green,white
normal,Brown,burnt_orange,khaki_brown
fair,Black,khaki_brown,dark_blue
dark,Brown,purple,charcoal_gray
normal,Black,orange,charcoal_gray
fair,Black,pink,tan_brown
normal,Black,medium_gray,dark_brown
fair,Brown,spring_green,light_gray
dark,Blonde,purple,light_gray
fair,Blonde,yellow,light_blue
fair,Brown,lavender,navy_blue
fair,Brown,violet,gold
dark,Blonde,black,gold
dark,Brown,dark_brown,white
normal,Blonde,purple,medium_gray
fair,Brown,white,dark_blue
fair,Blonde,medium_gray,light_gray
dark,Blonde,light_blue,light_blue
normal,Brown,blue,medium_gray
normal,Black,red,white
normal,Black,brown,navy_blue
dark,Brown,violet,dark_brown
normal,Black,red,black
dark,Brown,tan_brown,navy_blue
normal,Black,violet,khaki_brown
normal,Blonde,white,tan_brown
normal,Brown,brown,navy_blue
dark,Blonde,khaki_brown,tan_brown
fair,Black,violet,light_gray
dark,Black,burnt_orange,light_blue
dark,Brown,dark_blue,brown
normal,Blonde,dark_blue,white
fair,Brown,sky_blue,dark_blue
dark,Black,purple,navy_blue
fair,Black,red,charcoal_gray
dark,Black,dark_brown,khaki_brown
dark,Brown,yellow,dark_blue
normal,Black,white,dark_brown
fair,Black,navy_blue,charcoal_gray
fair,Brown,brown,dark_blue
normal,Brown,gold,tan_brown
dark,Black,dark_blue,gold
fair,Black,olive_green,khaki_brown
normal,Black,maroon,brown
normal,Black,gold,light_blue
dark,Black,burnt_orange,charcoal_gray
fair,Blonde,pink,dark_brown
dark,Black,green,medium_gray
normal,Brown,spring_green,charcoal_gray
fair,Brown,lavender,khaki_brown
normal,Blonde,yellow,brown
normal,Brown,light_gray,white
normal,Blonde,tan_brown,dark_brown
dark,Brown,olive_green,dark_blue
fair,Brown,blue,dark_blue
fair,Blonde,red,dark_blue
dark,Brown,dark_brown,tan_brown
normal,Blonde,maroon,white
normal,Blonde,sky_blue,navy_blue
dark,Black,red,charcoal_gray
fair,Black,lavender,medium_gray
fair,Blonde,pink,white
normal,Brown,lavender,white
fair,Blonde,olive_green,navy_blue
normal,Black,black,medium_gray
normal,Blonde,dark_brown,khaki_brown
dark,Brown,red,light_blue
fair,Black,charcoal_gray,brown
dark,Brown,navy_blue,brown
fair,Blonde,burnt_orange,tan_brown
fair,Brown,white,tan_brown
normal,Black,olive_green,navy_blue
dark,Blonde,blue,dark_brown
normal,Brown,maroon,gold
normal,Blonde,black,black
fair,Brown,medium_gray,white
fair,Black,tan_brown,gold
dark,Brown,green,charcoal_gray
normal,Black,white,gold
normal,Blonde,gold,tan_brown
fair,Brown,green,brown
normal,Black,orange,dark_brown
dark,Brown,blue,white
dark,Brown,violet,light_gray
fair,Brown,maroon,light_blue
fair,Black,burnt_orange,black
fair,Black,white,white
fair,Brown,spring_green,charcoal_gray
normal,Brown,orange,dark_blue
fair,Blonde,dark_blue,dark_brown
dark,Black,violet,light_blue
normal,Brown,tan_brown,brown
dark,Brown,yellow,gold
normal,Brown,green,medium_gray
fair,Blonde,white,medium_gray
normal,Brown,khaki_brown,white
dark,Blonde,brown,charcoal_gray
dark,Brown,dark_brown,black
normal,Brown,gold,navy_blue
normal,Brown,blue,gold
normal,Blonde,khaki_brown,navy_blue
fair,Blonde,dark_blue,medium_gray
fair,Blonde,violet,light_blue
fair,Brown,white,brown
fair,Black,spring_green,dark_blue
fair,Brown,red,light_gray
dark,Blonde,green,tan_brown
dark,Black,light_blue,gold
dark,Brown,white,dark_blue
fair,Brown,tan_brown,dark_blue
fair,Brown,spring_green,medium_gray
fair,Brown,black,khaki_brown
normal,Blonde,burnt_orange,light_gray
normal,Black,purple,gold
fair,Brown,orange,dark_blue
dark,Blonde,medium_gray,medium_gray
dark,Blonde,charcoal_gray,dark_blue
dark,Black,dark_brown,tan_brown
dark,Brown,green,dark_brown
normal,Blonde,pink,light_blue
dark,Blonde,dark_brown,dark_brown
fair,Blonde,yellow,khaki_brown
dark,Blonde,black,light_blue
fair,Brown,dark_blue,white
normal,Blonde,yellow,charcoal_gray
dark,Brown,gold,navy_blue
dark,Blonde,blue,gold
dark,Black,tan_brown,gold
fair,Brown,brown,white
fair,Black,charcoal_gray,tan_brown
normal,Blonde,white,khaki_brown
normal,Blonde,lavender,dark_blue
dark,Blonde,gold,gold
fair,Black,khaki_brown,black
fair,Blonde,light_gray,khaki_brown
fair,Brown,gold,navy_blue
dark,Black,charcoal_gray,light_blue
normal,Black,spring_green,khaki_brown
normal,Black,lavender,white
dark,Brown,brown,charcoal_gray
fair,Black,orange,gold
fair,Brown,black,dark_brown
dark,Brown,pink,light_blue
normal,Black,spring_green,medium_gray
fair,Black,dark_brown,black
dark,Blonde,khaki_brown,dark_blue
fair,Brown,sky_blue,gold
dark,Brown,dark_brown,dark_brown
dark,Blonde,medium_gray,light_gray
normal,Brown,spring_green,dark_blue
fair,Blonde,blue,khaki_brown
fair,Black,maroon,tan_brown
fair,Brown,burnt_orange,medium_gray
dark,Blonde,tan_brown,brown
fair,Blonde,spring_green,navy_blue
fair,Brown,pink,white
normal,Black,medium_gray,navy_blue
fair,Black,medium_gray,dark_blue
fair,Brown,blue,brown
normal,Blonde,light_blue,black
normal,Blonde,olive_green,navy_blue
normal,Brown,olive_green,khaki_brown
dark,Black,blue,medium_gray
normal,Brown,maroon,medium_gray
normal,Brown,tan_brown,light_gray
fair,Black,violet,medium_gray
normal,Blonde,medium_gray,navy_blue
dark,Blonde,charcoal_gray,tan_brown
dark,Black,maroon,light_blue
fair,Brown,green,gold
fair,Black,light_gray,navy_blue
normal,Brown,burnt_orange,brown
fair,Black,light_blue,light_blue
fair,Brown,charcoal_gray,black
fair,Brown,purple,light_gray
dark,Brown,yellow,brown
dark,Black,burnt_orange,dark_brown
dark,Blonde,spring_green,dark_blue
normal,Black,dark_blue,light_gray
normal,Black,dark_brown,white
fair,Black,blue,khaki_brown
dark,Brown,white,navy_blue
normal,Blonde,burnt_orange,black
dark,Brown,maroon,medium_gray
fair,Blonde,gold,light_gray
fair,Black,sky_blue,charcoal_gray
dark,Brown,dark_blue,dark_brown
normal,Brown,light_gray,light_blue
fair,Blonde,lavender,white
dark,Black,orange,black
fair,Black,olive_green,gold
dark,Blonde,purple,light_blue
fair,Brown,tan_brown,charcoal_gray
dark,Brown,yellow,navy_blue
normal,Black,khaki_brown,medium_gray
dark,Brown,navy_blue,black
normal,Black,sky_blue,black
fair,Brown,red,white
fair,Black,sky_blue,dark_brown
fair,Blonde,charcoal_gray,light_gray
normal,Brown,dark_blue,black
normal,Brown,yellow,dark_blue
dark,Blonde,pink,dark_brown
dark,Black,gold,black
fair,Blonde,purple,light_blue
dark,Brown,gold,brown
normal,Blonde,dark_blue,light_gray
normal,Blonde,yellow,tan_brown
dark,Blonde,lavender,dark_brown
normal,Blonde,khaki_brown,medium_gray
normal,Black,burnt_orange,light_gray
normal,Blonde,tan_brown,medium_gray
