face,hair,category,location,upper_color,lower_color
dark,Black,Ethnic_fashion_style,East,navy_blue,khaki_brown
dark,Brown,Formal_Office_Wear,North,lavender,khaki_brown
fair,Black,Retro_Fashion,South,light_gray,gold
dark,Blonde,Geeky_chic_Style,East,olive_green,charcoal_gray
normal,Black,Hip_Hop_Style,North,gold,brown
normal,Brown,Streetwear_Style,West,gold,dark_blue
dark,Blonde,Hip_Hop_Style,South,gold,dark_blue
normal,Blonde,Rocker_Chic_Style,West,dark_blue,navy_blue
normal,Black,Formal_Office_Wear,East,white,medium_gray
normal,Brown,Flamboyant_style,West,blue,khaki_brown
dark,Black,Evening_Black_Tie,North,charcoal_gray,light_blue
fair,Brown,Sports_Wear,East,medium_gray,white
dark,Blonde,Hip_Hop_Style,West,navy_blue,gold
normal,Blonde,Business_Casual,East,blue,white
fair,Brown,Evening_Black_Tie,West,orange,gold
dark,Black,Military_style,North,charcoal_gray,brown
fair,Black,Flamboyant_style,East,medium_gray,brown
fair,Blonde,Rocker_Chic_Style,North,brown,dark_brown
normal,Black,Girly_Style,North,dark_blue,dark_blue
fair,Brown,Skateboarders,East,olive_green,medium_gray
dark,Brown,Casual_Chic_Style,North,pink,dark_brown
dark,Blonde,Business_Casual,West,orange,khaki_brown
normal,Brown,Flamboyant_style,East,brown,black
normal,Blonde,Casual_Chic_Style,East,lavender,light_gray
fair,Brown,Casual_Chic_Style,East,lavender,brown
dark,Black,Sports_Wear,South,charcoal_gray,light_blue
normal,Brown,Rocker_Chic_Style,West,red,brown
normal,Black,Streetwear_Style,North,maroon,dark_blue
normal,Brown,Sports_Wear,South,burnt_orange,tan_brown
normal,Black,Retro_Fashion,South,light_gray,light_gray
dark,Black,Hip_Hop_Style,West,dark_brown,light_gray
fair,Black,Business_Casual,East,blue,gold
fair,Blonde,Geeky_chic_Style,West,yellow,brown
dark,Blonde,Girly_Style,South,navy_blue,dark_blue
normal,Blonde,Skateboarders,East,sky_blue,dark_brown
dark,Black,Retro_Fashion,West,medium_gray,medium_gray
dark,Brown,Retro_Fashion,South,dark_blue,brown
normal,Blonde,Geeky_chic_Style,South,orange,tan_brown
dark,Black,Evening_Black_Tie,South,burnt_orange,tan_brown
dark,Brown,Casual_Chic_Style,West,olive_green,black
fair,Blonde,Rocker_Chic_Style,East,yellow,medium_gray
normal,Brown,Ethnic_fashion_style,North,yellow,dark_brown
normal,Brown,Girly_Style,North,lavender,black
dark,Blonde,Evening_Black_Tie,West,charcoal_gray,black
normal,Blonde,Military_style,East,khaki_brown,tan_brown
dark,Blonde,Geeky_chic_Style,West,light_gray,white
fair,Brown,Hip_Hop_Style,East,black,dark_blue
fair,Brown,Military_style,South,dark_blue,light_gray
normal,Brown,Streetwear_Style,East,orange,brown
normal,Brown,Streetwear_Style,South,pink,dark_brown
dark,Blonde,Retro_Fashion,West,white,light_gray
dark,Brown,Hip_Hop_Style,North,dark_brown,gold
normal,Blonde,Hip_Hop_Style,West,dark_blue,light_blue
fair,Brown,Casual_Chic_Style,West,navy_blue,dark_brown
dark,Black,Hip_Hop_Style,West,khaki_brown,light_gray
fair,Black,Sports_Wear,West,olive_green,khaki_brown
dark,Blonde,Retro_Fashion,East,medium_gray,gold
normal,Brown,Ethnic_fashion_style,East,sky_blue,dark_blue
normal,Blonde,Formal_Office_Wear,West,purple,brown
normal,Blonde,Hip_Hop_Style,South,green,white
dark,Brown,Rocker_Chic_Style,South,medium_gray,dark_blue
fair,Black,Flamboyant_style,East,light_gray,light_gray
normal,Blonde,Rocker_Chic_Style,South,green,navy_blue
fair,Black,Sports_Wear,South,blue,navy_blue
normal,Black,Evening_Black_Tie,South,lavender,brown
dark,Brown,Streetwear_Style,East,white,medium_gray
fair,Brown,Ethnic_fashion_style,West,brown,black
normal,Black,Formal_Office_Wear,East,tan_brown,light_gray
normal,Blonde,Streetwear_Style,East,burnt_orange,dark_brown
normal,Black,Flamboyant_style,South,white,dark_brown
normal,Black,Ethnic_fashion_style,North,sky_blue,khaki_brown
fair,Brown,Geeky_chic_Style,South,burnt_orange,khaki_brown
fair,Brown,Geeky_chic_Style,North,violet,khaki_brown
fair,Black,Skateboarders,East,yellow,brown
normal,Black,Flamboyant_style,South,gold,navy_blue
fair,Brown,Retro_Fashion,West,spring_green,medium_gray
normal,Black,Military_style,East,olive_green,charcoal_gray
fair,Brown,Ethnic_fashion_style,South,light_gray,white
normal,Brown,Streetwear_Style,North,khaki_brown,navy_blue
normal,Black,Hip_Hop_Style,South,gold,khaki_brown
fair,Blonde,Business_Casual,North,medium_gray,brown
fair,Blonde,Casual_Chic_Style,South,lavender,charcoal_gray
fair,Blonde,Formal_Office_Wear,West,purple,dark_brown
dark,Black,Retro_Fashion,South,khaki_brown,brown
fair,Blonde,Military_style,North,red,light_blue
fair,Brown,Hip_Hop_Style,East,olive_green,navy_blue
fair,Black,Evening_Black_Tie,West,orange,navy_blue
fair,Brown,Rocker_Chic_Style,North,medium_gray,light_blue
fair,Brown,Skateboarders,South,light_blue,tan_brown
fair,Brown,Streetwear_Style,South,burnt_orange,brown
fair,Blonde,Evening_Black_Tie,West,olive_green,dark_brown
normal,Black,Formal_Office_Wear,West,light_gray,black
normal,Blonde,Skateboarders,South,sky_blue,white
fair,Blonde,Sports_Wear,West,purple,charcoal_gray
fair,Brown,Military_style,West,white,black
fair,Black,Casual_Chic_Style,North,light_blue,medium_gray
normal,Blonde,Evening_Black_Tie,South,charcoal_gray,dark_blue
dark,Brown,Casual_Chic_Style,North,tan_brown,charcoal_gray
dark,Brown,Rocker_Chic_Style,North,tan_brown,khaki_brown
fair,Black,Casual_Chic_Style,West,gold,black
normal,Blonde,Geeky_chic_Style,North,black,black
fair,Blonde,Geeky_chic_Style,North,blue,charcoal_gray
fair,Brown,Ethnic_fashion_style,East,olive_green,medium_gray
dark,Black,Flamboyant_style,South,brown,gold
fair,Blonde,Casual_Chic_Style,East,brown,charcoal_gray
normal,Blonde,Casual_Chic_Style,North,khaki_brown,dark_brown
normal,Black,Casual_Chic_Style,East,charcoal_gray,light_blue
normal,Brown,Girly_Style,East,orange,charcoal_gray
fair,Blonde,Sports_Wear,West,dark_brown,light_gray
normal,Brown,Casual_Chic_Style,West,white,dark_brown
dark,Black,Retro_Fashion,North,blue,tan_brown
normal,Black,Sports_Wear,South,blue,light_gray
fair,Blonde,Evening_Black_Tie,East,maroon,charcoal_gray
fair,Black,Rocker_Chic_Style,West,light_gray,light_gray
dark,Blonde,Evening_Black_Tie,East,light_gray,tan_brown
fair,Black,Rocker_Chic_Style,West,purple,charcoal_gray
dark,Black,Streetwear_Style,West,brown,tan_brown
fair,Brown,Geeky_chic_Style,West,olive_green,light_gray
fair,Brown,Business_Casual,North,burnt_orange,medium_gray
fair,Black,Sports_Wear,West,spring_green,khaki_brown
normal,Brown,Military_style,North,orange,brown
normal,Black,Hip_Hop_Style,East,purple,white
dark,Blonde,Streetwear_Style,North,pink,gold
normal,Brown,Retro_Fashion,West,brown,medium_gray
normal,Blonde,Flamboyant_style,East,sky_blue,dark_blue
fair,Brown,Sports_Wear,East,lavender,tan_brown
fair,Blonde,Rocker_Chic_Style,East,yellow,black
fair,Black,Girly_Style,East,red,medium_gray
normal,Brown,Retro_Fashion,North,black,light_gray
dark,Brown,Evening_Black_Tie,South,tan_brown,charcoal_gray
fair,Black,Military_style,South,yellow,brown
fair,Black,Sports_Wear,South,dark_brown,medium_gray
dark,Blonde,Flamboyant_style,West,maroon,khaki_brown
dark,Black,Girly_Style,North,pink,navy_blue
fair,Brown,Business_Casual,West,yellow,light_gray
normal,Blonde,Business_Casual,West,medium_gray,dark_blue
normal,Brown,Formal_Office_Wear,South,white,brown
fair,Brown,Flamboyant_style,East,sky_blue,brown
normal,Blonde,Military_style,East,dark_blue,white
normal,Blonde,Geeky_chic_Style,West,navy_blue,light_gray
dark,Brown,Hip_Hop_Style,North,blue,gold
dark,Black,Rocker_Chic_Style,South,tan_brown,brown
normal,Blonde,Skateboarders,South,purple,light_gray
dark,Brown,Retro_Fashion,West,violet,white
normal,Black,Streetwear_Style,North,light_gray,brown
dark,Brown,Casual_Chic_Style,West,light_blue,dark_blue
